Fecha,Producto,País,Ventas
2022-07-13,Producto 1,País 1,7951
2022-11-21,Producto 2,País 1,3719
2022-03-24,Producto 2,País 1,506
2022-07-15,Producto 3,País 1,3834
2022-02-22,Producto 2,País 2,4189
2022-03-08,Producto 2,País 1,4585
2022-06-11,Producto 1,País 1,4421
2022-05-17,Producto 1,País 2,4485
2022-08-01,Producto 2,País 1,5380
2022-02-02,Producto 2,País 3,4944
2022-08-17,Producto 1,País 2,414
2022-05-25,Producto 1,País 2,1221
2022-12-05,Producto 2,País 1,5779
2022-04-10,Producto 2,País 2,2888
2022-09-21,Producto 1,País 2,2534
2022-09-05,Producto 1,País 3,1996
2022-08-09,Producto 2,País 1,797
2022-02-16,Producto 2,País 2,6885
2022-02-19,Producto 1,País 1,5932
2022-04-06,Producto 2,País 2,4721
2022-10-20,Producto 2,País 2,2571
2022-08-26,Producto 2,País 1,3047
2022-08-10,Producto 2,País 3,9197
2022-05-04,Producto 1,País 3,3584
2022-10-01,Producto 2,País 1,9324
2022-03-06,Producto 1,País 1,5452
2022-11-01,Producto 3,País 2,8891
2022-05-13,Producto 3,País 3,8517
2022-12-27,Producto 2,País 3,7067
2022-03-12,Producto 2,País 1,9592
2022-05-16,Producto 3,País 1,3193
2022-07-18,Producto 2,País 3,6080
2022-07-09,Producto 2,País 1,856
2022-08-22,Producto 3,País 2,6354
2022-11-16,Producto 1,País 1,5087
2022-08-22,Producto 3,País 3,3896
2022-12-04,Producto 2,País 2,7019
2022-08-10,Producto 2,País 2,2477
2022-07-19,Producto 3,País 2,7623
2022-06-23,Producto 1,País 3,7308
2022-07-20,Producto 2,País 2,7402
2022-08-09,Producto 3,País 2,2758
2022-03-19,Producto 2,País 3,1296
2022-01-03,Producto 3,País 2,697
2022-05-21,Producto 3,País 2,7935
2022-11-09,Producto 2,País 3,3954
2022-06-23,Producto 1,País 3,8229
2022-05-25,Producto 3,País 1,660
2022-11-03,Producto 2,País 2,1023
2022-09-27,Producto 2,País 3,4439
2022-08-04,Producto 2,País 1,6310
2022-07-06,Producto 2,País 1,5418
2022-05-26,Producto 3,País 3,4541
2022-09-17,Producto 3,País 1,9037
2022-02-07,Producto 2,País 1,8564
2022-06-14,Producto 2,País 2,5017
2022-06-05,Producto 3,País 1,6965
2022-07-20,Producto 2,País 2,6612
2022-07-05,Producto 3,País 3,2120
2022-01-27,Producto 2,País 2,1394
2022-06-24,Producto 2,País 3,5042
2022-12-03,Producto 2,País 1,9716
2022-11-22,Producto 1,País 2,5521
2022-06-11,Producto 1,País 2,3971
2022-11-25,Producto 2,País 2,2477
2022-08-28,Producto 2,País 3,1222
2022-01-03,Producto 3,País 3,1995
2022-08-15,Producto 2,País 3,4499
2022-03-07,Producto 2,País 2,6827
2022-09-22,Producto 3,País 1,8970
2022-12-02,Producto 2,País 2,7869
2022-11-03,Producto 1,País 3,4892
2022-07-19,Producto 2,País 1,5717
2022-04-11,Producto 3,País 3,466
2022-01-20,Producto 2,País 2,4357
2022-11-27,Producto 1,País 3,8186
2022-07-21,Producto 1,País 3,2715
2022-03-01,Producto 2,País 2,2646
2022-10-06,Producto 1,País 1,2259
2022-05-28,Producto 1,País 2,6130
2022-06-01,Producto 2,País 1,2556
2022-08-28,Producto 1,País 3,762
2022-06-28,Producto 3,País 2,8218
2022-11-04,Producto 1,País 2,2696
2022-08-26,Producto 2,País 2,655
2022-11-12,Producto 1,País 2,4569
2022-02-27,Producto 2,País 3,6504
2022-08-19,Producto 3,País 2,6909
2022-02-18,Producto 3,País 2,7942
2022-02-03,Producto 1,País 3,961
2022-09-24,Producto 1,País 2,8646
2022-12-04,Producto 1,País 2,2815
2022-11-07,Producto 2,País 3,8154
2022-02-16,Producto 3,País 1,8596
2022-01-23,Producto 3,País 2,2297
2022-12-21,Producto 1,País 2,3145
2022-12-01,Producto 3,País 2,2718
2022-11-13,Producto 1,País 1,5614
2022-03-11,Producto 2,País 3,406
2022-02-25,Producto 3,País 3,8358
2022-08-18,Producto 3,País 1,837
2022-03-20,Producto 2,País 2,5548
2022-10-26,Producto 1,País 3,6993
2022-06-16,Producto 2,País 2,3470
2022-01-05,Producto 1,País 2,420
2022-03-16,Producto 3,País 3,8252
2022-06-28,Producto 1,País 2,7282
2022-08-01,Producto 3,País 1,1685
2022-05-14,Producto 1,País 3,4459
2022-09-03,Producto 2,País 3,1090
2022-03-14,Producto 1,País 2,512
2022-02-07,Producto 1,País 1,9649
2022-12-23,Producto 2,País 2,7826
2022-03-10,Producto 1,País 2,1668
2022-05-05,Producto 2,País 1,1802
2022-01-06,Producto 2,País 3,246
2022-07-06,Producto 3,País 2,4605
2022-04-09,Producto 1,País 2,9613
2022-11-21,Producto 2,País 2,5435
2022-02-25,Producto 3,País 3,9653
2022-07-24,Producto 1,País 2,3819
2022-11-24,Producto 2,País 1,4012
2022-02-22,Producto 3,País 1,6973
2022-02-26,Producto 1,País 2,5198
