Ciudad;Fecha;Temperatura;Latitud;Longitud
Londres;2021-1-1;8;51.5074;-0.1278
Londres;2021-1-2;7;51.5074;-0.1278
Londres;2021-1-3;6;51.5074;-0.1278
Londres;2021-1-4;6;51.5074;-0.1278
Londres;2021-1-5;7;51.5074;-0.1278
Londres;2021-1-6;3;51.5074;-0.1278
Londres;2021-1-7;3;51.5074;-0.1278
Londres;2021-1-8;5;51.5074;-0.1278
Londres;2021-1-9;7;51.5074;-0.1278
Londres;2021-1-10;3;51.5074;-0.1278
Londres;2021-1-11;7;51.5074;-0.1278
Londres;2021-1-12;4;51.5074;-0.1278
Londres;2021-1-13;8;51.5074;-0.1278
Londres;2021-1-14;6;51.5074;-0.1278
Londres;2021-1-15;6;51.5074;-0.1278
Londres;2021-1-16;6;51.5074;-0.1278
Londres;2021-1-17;5;51.5074;-0.1278
Londres;2021-1-18;5;51.5074;-0.1278
Londres;2021-1-19;3;51.5074;-0.1278
Londres;2021-1-20;4;51.5074;-0.1278
Londres;2021-1-21;3;51.5074;-0.1278
Londres;2021-1-22;5;51.5074;-0.1278
Londres;2021-1-23;7;51.5074;-0.1278
Londres;2021-1-24;7;51.5074;-0.1278
Londres;2021-1-25;3;51.5074;-0.1278
Londres;2021-1-26;6;51.5074;-0.1278
Londres;2021-1-27;4;51.5074;-0.1278
Londres;2021-1-28;6;51.5074;-0.1278
Londres;2021-1-29;7;51.5074;-0.1278
Londres;2021-1-30;5;51.5074;-0.1278
Londres;2021-1-31;5;51.5074;-0.1278
Londres;2021-2-1;7;51.5074;-0.1278
Londres;2021-2-2;7;51.5074;-0.1278
Londres;2021-2-3;5;51.5074;-0.1278
Londres;2021-2-4;6;51.5074;-0.1278
Londres;2021-2-5;3;51.5074;-0.1278
Londres;2021-2-6;4;51.5074;-0.1278
Londres;2021-2-7;3;51.5074;-0.1278
Londres;2021-2-8;6;51.5074;-0.1278
Londres;2021-2-9;7;51.5074;-0.1278
Londres;2021-2-10;5;51.5074;-0.1278
Londres;2021-2-11;8;51.5074;-0.1278
Londres;2021-2-12;4;51.5074;-0.1278
Londres;2021-2-13;5;51.5074;-0.1278
Londres;2021-2-14;7;51.5074;-0.1278
Londres;2021-2-15;7;51.5074;-0.1278
Londres;2021-2-16;6;51.5074;-0.1278
Londres;2021-2-17;4;51.5074;-0.1278
Londres;2021-2-18;5;51.5074;-0.1278
Londres;2021-2-19;8;51.5074;-0.1278
Londres;2021-2-20;4;51.5074;-0.1278
Londres;2021-2-21;3;51.5074;-0.1278
Londres;2021-2-22;6;51.5074;-0.1278
Londres;2021-2-23;5;51.5074;-0.1278
Londres;2021-2-24;4;51.5074;-0.1278
Londres;2021-2-25;4;51.5074;-0.1278
Londres;2021-2-26;6;51.5074;-0.1278
Londres;2021-2-27;4;51.5074;-0.1278
Londres;2021-2-28;3;51.5074;-0.1278
Londres;2021-3-1;5;51.5074;-0.1278
Londres;2021-3-2;4;51.5074;-0.1278
Londres;2021-3-3;8;51.5074;-0.1278
Londres;2021-3-4;6;51.5074;-0.1278
Londres;2021-3-5;10;51.5074;-0.1278
Londres;2021-3-6;11;51.5074;-0.1278
Londres;2021-3-7;4;51.5074;-0.1278
Londres;2021-3-8;5;51.5074;-0.1278
Londres;2021-3-9;4;51.5074;-0.1278
Londres;2021-3-10;6;51.5074;-0.1278
Londres;2021-3-11;7;51.5074;-0.1278
Londres;2021-3-12;4;51.5074;-0.1278
Londres;2021-3-13;6;51.5074;-0.1278
Londres;2021-3-14;4;51.5074;-0.1278
Londres;2021-3-15;5;51.5074;-0.1278
Londres;2021-3-16;6;51.5074;-0.1278
Londres;2021-3-17;4;51.5074;-0.1278
Londres;2021-3-18;5;51.5074;-0.1278
Londres;2021-3-19;8;51.5074;-0.1278
Londres;2021-3-20;7;51.5074;-0.1278
Londres;2021-3-21;10;51.5074;-0.1278
Londres;2021-3-22;8;51.5074;-0.1278
Londres;2021-3-23;10;51.5074;-0.1278
Londres;2021-3-24;8;51.5074;-0.1278
Londres;2021-3-25;4;51.5074;-0.1278
Londres;2021-3-26;8;51.5074;-0.1278
Londres;2021-3-27;5;51.5074;-0.1278
Londres;2021-3-28;4;51.5074;-0.1278
Londres;2021-3-29;8;51.5074;-0.1278
Londres;2021-3-30;9;51.5074;-0.1278
Londres;2021-3-31;5;51.5074;-0.1278
Londres;2021-4-1;7;51.5074;-0.1278
Londres;2021-4-2;12;51.5074;-0.1278
Londres;2021-4-3;9;51.5074;-0.1278
Londres;2021-4-4;8;51.5074;-0.1278
Londres;2021-4-5;9;51.5074;-0.1278
Londres;2021-4-6;10;51.5074;-0.1278
Londres;2021-4-7;12;51.5074;-0.1278
Londres;2021-4-8;13;51.5074;-0.1278
Londres;2021-4-9;9;51.5074;-0.1278
Londres;2021-4-10;7;51.5074;-0.1278
Londres;2021-4-11;12;51.5074;-0.1278
Londres;2021-4-12;10;51.5074;-0.1278
Londres;2021-4-13;10;51.5074;-0.1278
Londres;2021-4-14;7;51.5074;-0.1278
Londres;2021-4-15;12;51.5074;-0.1278
Londres;2021-4-16;9;51.5074;-0.1278
Londres;2021-4-17;10;51.5074;-0.1278
Londres;2021-4-18;8;51.5074;-0.1278
Londres;2021-4-19;8;51.5074;-0.1278
Londres;2021-4-20;8;51.5074;-0.1278
Londres;2021-4-21;7;51.5074;-0.1278
Londres;2021-4-22;6;51.5074;-0.1278
Londres;2021-4-23;7;51.5074;-0.1278
Londres;2021-4-24;6;51.5074;-0.1278
Londres;2021-4-25;10;51.5074;-0.1278
Londres;2021-4-26;13;51.5074;-0.1278
Londres;2021-4-27;7;51.5074;-0.1278
Londres;2021-4-28;9;51.5074;-0.1278
Londres;2021-4-29;12;51.5074;-0.1278
Londres;2021-4-30;6;51.5074;-0.1278
Londres;2021-5-1;16;51.5074;-0.1278
Londres;2021-5-2;13;51.5074;-0.1278
Londres;2021-5-3;13;51.5074;-0.1278
Londres;2021-5-4;13;51.5074;-0.1278
Londres;2021-5-5;16;51.5074;-0.1278
Londres;2021-5-6;14;51.5074;-0.1278
Londres;2021-5-7;14;51.5074;-0.1278
Londres;2021-5-8;12;51.5074;-0.1278
Londres;2021-5-9;10;51.5074;-0.1278
Londres;2021-5-10;11;51.5074;-0.1278
Londres;2021-5-11;11;51.5074;-0.1278
Londres;2021-5-12;17;51.5074;-0.1278
Londres;2021-5-13;13;51.5074;-0.1278
Londres;2021-5-14;15;51.5074;-0.1278
Londres;2021-5-15;11;51.5074;-0.1278
Londres;2021-5-16;16;51.5074;-0.1278
Londres;2021-5-17;10;51.5074;-0.1278
Londres;2021-5-18;10;51.5074;-0.1278
Londres;2021-5-19;16;51.5074;-0.1278
Londres;2021-5-20;13;51.5074;-0.1278
Londres;2021-5-21;10;51.5074;-0.1278
Londres;2021-5-22;9;51.5074;-0.1278
Londres;2021-5-23;16;51.5074;-0.1278
Londres;2021-5-24;11;51.5074;-0.1278
Londres;2021-5-25;17;51.5074;-0.1278
Londres;2021-5-26;9;51.5074;-0.1278
Londres;2021-5-27;9;51.5074;-0.1278
Londres;2021-5-28;9;51.5074;-0.1278
Londres;2021-5-29;13;51.5074;-0.1278
Londres;2021-5-30;9;51.5074;-0.1278
Londres;2021-5-31;15;51.5074;-0.1278
Londres;2021-6-1;13;51.5074;-0.1278
Londres;2021-6-2;14;51.5074;-0.1278
Londres;2021-6-3;16;51.5074;-0.1278
Londres;2021-6-4;19;51.5074;-0.1278
Londres;2021-6-5;13;51.5074;-0.1278
Londres;2021-6-6;18;51.5074;-0.1278
Londres;2021-6-7;17;51.5074;-0.1278
Londres;2021-6-8;15;51.5074;-0.1278
Londres;2021-6-9;12;51.5074;-0.1278
Londres;2021-6-10;19;51.5074;-0.1278
Londres;2021-6-11;20;51.5074;-0.1278
Londres;2021-6-12;19;51.5074;-0.1278
Londres;2021-6-13;12;51.5074;-0.1278
Londres;2021-6-14;19;51.5074;-0.1278
Londres;2021-6-15;14;51.5074;-0.1278
Londres;2021-6-16;18;51.5074;-0.1278
Londres;2021-6-17;14;51.5074;-0.1278
Londres;2021-6-18;14;51.5074;-0.1278
Londres;2021-6-19;13;51.5074;-0.1278
Londres;2021-6-20;20;51.5074;-0.1278
Londres;2021-6-21;13;51.5074;-0.1278
Londres;2021-6-22;20;51.5074;-0.1278
Londres;2021-6-23;19;51.5074;-0.1278
Londres;2021-6-24;19;51.5074;-0.1278
Londres;2021-6-25;15;51.5074;-0.1278
Londres;2021-6-26;15;51.5074;-0.1278
Londres;2021-6-27;17;51.5074;-0.1278
Londres;2021-6-28;16;51.5074;-0.1278
Londres;2021-6-29;13;51.5074;-0.1278
Londres;2021-6-30;16;51.5074;-0.1278
Londres;2021-7-1;15;51.5074;-0.1278
Londres;2021-7-2;16;51.5074;-0.1278
Londres;2021-7-3;18;51.5074;-0.1278
Londres;2021-7-4;21;51.5074;-0.1278
Londres;2021-7-5;17;51.5074;-0.1278
Londres;2021-7-6;17;51.5074;-0.1278
