Fecha,Producto,País,Ventas
2022-09-09,Producto 2,País 1,5319
2022-09-03,Producto 1,País 3,7247
2022-01-22,Producto 2,País 3,4193
2022-03-06,Producto 2,País 1,9334
2022-08-24,Producto 1,País 2,7815
2022-07-15,Producto 2,País 3,450
2022-10-15,Producto 3,País 3,3027
2022-12-27,Producto 3,País 3,2497
2022-07-09,Producto 2,País 1,1495
2022-03-20,Producto 1,País 1,5424
2022-08-19,Producto 1,País 3,8873
2022-04-14,Producto 1,País 1,1244
2022-08-08,Producto 2,País 2,8827
2022-02-11,Producto 1,País 2,6857
2022-12-12,Producto 2,País 1,292
2022-04-23,Producto 3,País 1,9332
2022-02-06,Producto 2,País 1,3554
2022-05-04,Producto 3,País 1,9965
2022-03-15,Producto 2,País 2,7300
2022-05-17,Producto 1,País 1,7142
2022-08-12,Producto 3,País 1,1852
2022-04-11,Producto 3,País 1,7872
2022-08-15,Producto 1,País 1,4827
2022-01-20,Producto 2,País 2,7533
2022-02-25,Producto 3,País 2,3571
2022-09-02,Producto 3,País 3,2528
2022-07-16,Producto 2,País 3,8692
2022-10-27,Producto 2,País 3,1126
2022-04-06,Producto 3,País 2,3473
2022-06-05,Producto 2,País 2,1374
2022-05-03,Producto 2,País 1,824
2022-03-14,Producto 3,País 3,4189
2022-09-05,Producto 3,País 3,3711
2022-02-07,Producto 2,País 3,8473
2022-03-22,Producto 2,País 3,1918
2022-08-14,Producto 3,País 2,190
2022-08-02,Producto 3,País 1,7777
2022-09-01,Producto 2,País 2,6764
2022-01-02,Producto 2,País 2,7647
2022-09-25,Producto 2,País 3,4603
2022-02-07,Producto 1,País 2,7091
2022-06-13,Producto 3,País 3,9476
2022-11-04,Producto 1,País 1,6336
2022-07-20,Producto 3,País 2,2109
2022-07-28,Producto 1,País 3,281
2022-09-21,Producto 1,País 1,6895
2022-02-08,Producto 3,País 2,2509
2022-08-04,Producto 3,País 3,8170
2022-01-01,Producto 2,País 2,1274
2022-11-20,Producto 2,País 2,1050
2022-11-16,Producto 2,País 1,4647
2022-07-02,Producto 3,País 2,2290
2022-04-08,Producto 2,País 2,792
2022-10-01,Producto 1,País 1,6007
2022-10-19,Producto 3,País 2,7988
2022-05-01,Producto 1,País 2,6790
2022-06-26,Producto 3,País 2,9224
2022-07-21,Producto 1,País 2,7119
2022-06-25,Producto 3,País 1,3648
2022-07-13,Producto 2,País 1,5709
2022-08-04,Producto 1,País 3,7418
2022-05-10,Producto 1,País 2,8776
2022-04-12,Producto 1,País 2,3689
2022-03-12,Producto 3,País 2,7669
2022-09-23,Producto 2,País 2,3155
2022-10-13,Producto 3,País 1,4807
2022-05-15,Producto 1,País 2,2381
2022-05-22,Producto 2,País 1,9885
2022-06-23,Producto 3,País 1,1997
2022-01-26,Producto 3,País 1,9656
2022-10-01,Producto 3,País 3,7664
2022-06-04,Producto 1,País 1,268
2022-05-14,Producto 1,País 1,6007
2022-09-04,Producto 1,País 2,9213
2022-09-26,Producto 3,País 3,9693
2022-10-20,Producto 3,País 2,3758
2022-03-08,Producto 3,País 3,7077
2022-03-25,Producto 2,País 1,4126
2022-03-10,Producto 3,País 2,3821
2022-10-26,Producto 1,País 3,2152
2022-03-01,Producto 1,País 3,2943
2022-05-06,Producto 2,País 1,5389
2022-11-05,Producto 1,País 1,3439
2022-08-24,Producto 1,País 1,6472
2022-08-27,Producto 3,País 1,5671
2022-07-21,Producto 1,País 2,9217
2022-11-19,Producto 2,País 2,928
2022-08-17,Producto 1,País 3,6656
2022-05-10,Producto 3,País 1,5922
2022-03-15,Producto 1,País 3,4729
2022-05-05,Producto 2,País 1,4952
2022-05-20,Producto 2,País 1,9175
2022-01-14,Producto 1,País 1,8969
2022-12-26,Producto 2,País 2,1120
2022-04-25,Producto 3,País 3,9678
2022-01-06,Producto 1,País 2,938
2022-12-28,Producto 3,País 1,4198
2022-01-05,Producto 2,País 2,3761
2022-03-23,Producto 2,País 2,5157
2022-12-01,Producto 2,País 3,4985
2022-01-23,Producto 2,País 1,9236
2022-02-28,Producto 2,País 2,7417
2022-07-07,Producto 1,País 2,8935
2022-01-11,Producto 1,País 3,2006
2022-04-02,Producto 1,País 2,5924
2022-12-05,Producto 2,País 2,1368
2022-01-01,Producto 2,País 1,9898
2022-02-25,Producto 2,País 3,4157
2022-05-26,Producto 3,País 2,5231
2022-01-22,Producto 2,País 3,3685
2022-01-12,Producto 3,País 1,4440
2022-12-17,Producto 1,País 1,9865
2022-06-26,Producto 2,País 2,5352
2022-11-25,Producto 2,País 3,4724
2022-05-25,Producto 1,País 3,8653
2022-11-09,Producto 3,País 1,3768
2022-12-10,Producto 3,País 1,644
2022-05-01,Producto 3,País 1,5273
2022-08-23,Producto 1,País 2,6399
2022-09-26,Producto 1,País 2,790
2022-01-07,Producto 1,País 1,9937
2022-05-02,Producto 1,País 1,9402
2022-12-03,Producto 2,País 2,2020
2022-07-14,Producto 1,País 3,7185
2022-12-01,Producto 1,País 3,2373
2022-09-15,Producto 3,País 3,1137
2022-10-26,Producto 1,País 2,6254
2022-05-27,Producto 1,País 1,1828
2022-10-15,Producto 2,País 3,1464
2022-11-05,Producto 3,País 2,8318
2022-05-14,Producto 2,País 1,4953
2022-12-26,Producto 3,País 2,3549
2022-11-23,Producto 3,País 3,9368
2022-02-01,Producto 2,País 3,1731
2022-09-25,Producto 3,País 1,7785
2022-06-22,Producto 3,País 2,4074
2022-06-16,Producto 1,País 2,929
2022-10-27,Producto 2,País 1,5063
2022-01-03,Producto 1,País 2,9370
2022-02-15,Producto 3,País 2,7671
2022-02-24,Producto 3,País 2,2515
2022-08-17,Producto 1,País 3,1563
2022-02-05,Producto 1,País 2,5855
2022-07-09,Producto 3,País 2,385
2022-08-23,Producto 3,País 2,1311
2022-11-21,Producto 2,País 2,3557
2022-10-08,Producto 1,País 1,753
2022-10-22,Producto 2,País 2,1819
2022-03-12,Producto 2,País 3,2549
2022-04-21,Producto 2,País 1,1400
2022-06-07,Producto 1,País 1,3946
2022-09-27,Producto 3,País 2,2825
2022-03-16,Producto 1,País 1,9069
2022-05-07,Producto 1,País 1,6188
2022-09-18,Producto 3,País 3,6452
2022-03-11,Producto 1,País 1,9590
2022-06-09,Producto 3,País 3,9721
2022-02-16,Producto 1,País 1,7575
2022-01-20,Producto 3,País 3,5234
2022-03-15,Producto 3,País 1,3565
2022-05-03,Producto 2,País 2,5450
2022-07-25,Producto 2,País 2,4588
2022-08-26,Producto 3,País 2,849
2022-02-28,Producto 1,País 2,1777
2022-02-20,Producto 2,País 2,7195
2022-12-14,Producto 2,País 1,8805
2022-06-14,Producto 1,País 3,6377
2022-03-05,Producto 1,País 3,3768
2022-11-03,Producto 3,País 2,3570
2022-08-02,Producto 2,País 2,9341
2022-04-13,Producto 1,País 2,2339
2022-10-18,Producto 1,País 3,970
2022-03-06,Producto 1,País 1,7128
2022-09-12,Producto 2,País 3,4754
2022-04-23,Producto 3,País 3,2034
2022-12-15,Producto 2,País 3,3403
2022-05-22,Producto 3,País 2,8486
2022-06-05,Producto 1,País 1,3024
2022-12-20,Producto 3,País 2,1663
2022-06-11,Producto 3,País 3,4502
2022-10-04,Producto 2,País 3,851
2022-10-05,Producto 2,País 2,3521
2022-04-22,Producto 3,País 2,933
2022-01-13,Producto 3,País 3,8340
2022-03-08,Producto 1,País 1,2307
2022-07-16,Producto 3,País 3,2829
2022-11-19,Producto 2,País 1,8545
2022-12-25,Producto 3,País 1,2022
2022-08-21,Producto 3,País 2,270
2022-03-19,Producto 2,País 1,9755
2022-08-22,Producto 3,País 3,9001
2022-12-10,Producto 1,País 2,2643
2022-05-27,Producto 1,País 1,7144
2022-05-04,Producto 2,País 3,4128
2022-03-11,Producto 2,País 3,7078
2022-11-16,Producto 2,País 3,766
2022-12-28,Producto 1,País 2,8749
2022-06-05,Producto 1,País 2,9730
2022-07-03,Producto 1,País 1,408
2022-06-08,Producto 3,País 2,1338
2022-02-21,Producto 2,País 1,3542
2022-10-13,Producto 1,País 2,4702
2022-03-10,Producto 1,País 3,8954
2022-05-02,Producto 1,País 2,7422
2022-01-16,Producto 3,País 1,168
2022-05-09,Producto 2,País 2,1701
2022-02-26,Producto 3,País 2,3062
2022-08-24,Producto 1,País 3,7072
2022-07-06,Producto 1,País 3,3210
2022-07-05,Producto 2,País 1,5811
2022-11-12,Producto 2,País 2,1547
2022-07-11,Producto 1,País 1,5956
2022-08-10,Producto 3,País 3,1779
2022-11-05,Producto 2,País 3,7728
2022-06-14,Producto 1,País 2,1254
2022-06-20,Producto 2,País 1,9195
2022-01-05,Producto 3,País 3,3475
