Fecha,Producto,País,Ventas
2023-12-08,Producto 1,País 2,9145
2023-09-23,Producto 2,País 2,9894
2023-09-01,Producto 1,País 1,2141
2023-10-06,Producto 2,País 1,969
2023-02-18,Producto 3,País 1,1932
2023-06-21,Producto 2,País 3,8043
2023-07-23,Producto 1,País 2,3413
2023-11-13,Producto 3,País 3,3968
2023-03-15,Producto 2,País 3,395
2023-11-14,Producto 1,País 1,4684
2023-10-17,Producto 2,País 3,7565
2023-01-28,Producto 1,País 2,7575
2023-10-14,Producto 3,País 3,7016
2023-06-28,Producto 2,País 2,357
2023-05-15,Producto 3,País 2,2928
2023-04-08,Producto 3,País 2,3808
2023-06-09,Producto 1,País 2,8464
2023-10-04,Producto 1,País 3,6796
2023-01-13,Producto 3,País 1,4550
2023-03-28,Producto 1,País 2,8376
2023-10-16,Producto 1,País 2,8287
2023-03-23,Producto 1,País 3,4965
2023-06-11,Producto 2,País 1,3576
2023-02-24,Producto 3,País 3,6698
2023-01-01,Producto 1,País 2,1217
2023-02-16,Producto 3,País 1,8769
2023-11-25,Producto 2,País 1,1805
2023-05-02,Producto 2,País 2,454
2023-10-23,Producto 1,País 1,9587
2023-06-11,Producto 3,País 3,2093
2023-07-08,Producto 1,País 2,2765
2023-01-07,Producto 2,País 2,7701
2023-07-09,Producto 2,País 3,8611
2023-12-16,Producto 2,País 1,5505
2023-09-15,Producto 3,País 1,630
2023-02-10,Producto 2,País 3,3854
2023-11-19,Producto 3,País 3,7525
2023-12-03,Producto 2,País 1,9580
2023-04-11,Producto 3,País 1,2727
2023-04-23,Producto 2,País 2,3733
2023-07-13,Producto 1,País 3,8129
2023-05-04,Producto 2,País 1,7181
2023-04-17,Producto 1,País 3,4052
2023-05-27,Producto 3,País 3,1703
2023-12-07,Producto 1,País 1,5360
2023-06-25,Producto 1,País 2,3895
2023-09-23,Producto 2,País 2,6713
2023-04-25,Producto 2,País 3,8378
2023-03-02,Producto 2,País 1,4100
2023-09-11,Producto 3,País 3,1523
2023-01-20,Producto 1,País 1,2335
